Comune,Opera,Profondità,Longitudine_WGS84,Latitudine_WGS84,URL,LEGENDA
SPILINGA,POZZO IDROPOTABILE (ACQUEDOTTISTICO),150,15°54'10.66''E,38°36'07.16''N,http://sgi2.isprambiente.it/indagini/scheda_indagine.aspx?Codice=176023,POZZI ACQUEDOTTISTICI
ROSARNO,POZZO PER ACQUA,35,16°02'44.66''E,38°30'25.16''N,http://sgi2.isprambiente.it/indagini/scheda_indagine.aspx?Codice=176952,POZZI IDRICI
TAURIANOVA,POZZO PER ACQUA,100,16°01'14.80''E,38°22'38.80''N,http://sgi2.isprambiente.it/indagini/scheda_indagine.aspx?Codice=16721,POZZI IDRICI
SAN GIORGIO MORGETO,POZZO IDROPOTABILE (ACQUEDOTTISTICO),220,16°06'23.69''E,38°23'19.18''N,http://sgi2.isprambiente.it/indagini/scheda_indagine.aspx?Codice=177030,POZZI ACQUEDOTTISTICI
ROSARNO,POZZO PER ACQUA,75,16°00'53.68''E,38°27'32.15''N,http://sgi2.isprambiente.it/indagini/scheda_indagine.aspx?Codice=176984,POZZI IDRICI
ROSARNO,POZZO PER ACQUA,45,15°56'48.85''E,38°28'14.20''N,http://sgi2.isprambiente.it/indagini/scheda_indagine.aspx?Codice=16690,POZZI IDRICI
LIMBADI,POZZO PER ACQUA,120,15°58'16.64''E,38°34'04.15''N,http://sgi2.isprambiente.it/indagini/scheda_indagine.aspx?Codice=175613,POZZI IDRICI
TAURIANOVA,POZZO PER ACQUA,65,15°58'51.67''E,38°23'33.14''N,http://sgi2.isprambiente.it/indagini/scheda_indagine.aspx?Codice=177081,POZZI IDRICI
CITTANOVA,POZZO PER ACQUA,45,16°01'08.69''E,38°24'00.14''N,http://sgi2.isprambiente.it/indagini/scheda_indagine.aspx?Codice=176314,POZZI IDRICI
LIMBADI,POZZO PER ACQUA,115,15°57'26.64''E,38°34'13.15''N,http://sgi2.isprambiente.it/indagini/scheda_indagine.aspx?Codice=175664,POZZI IDRICI
SAN CALOGERO,POZZO PER ACQUA,90,16°00'28.66''E,38°32'42.18''N,http://sgi2.isprambiente.it/indagini/scheda_indagine.aspx?Codice=175858,POZZI IDRICI
SAN CALOGERO,POZZO PER ACQUA,138,16°02'13.67''E,38°33'36.18''N,http://sgi2.isprambiente.it/indagini/scheda_indagine.aspx?Codice=175850,POZZI IDRICI
NARDODIPACE,POZZO IDROPOTABILE (ACQUEDOTTISTICO),110,16°20'25.69''E,38°28'37.20''N,http://sgi2.isprambiente.it/indagini/scheda_indagine.aspx?Codice=175780,POZZI ACQUEDOTTISTICI
RIZZICONI,POZZO PER ACQUA,72,16°00'20.66''E,38°25'11.17''N,http://sgi2.isprambiente.it/indagini/scheda_indagine.aspx?Codice=176895,POZZI IDRICI
RIZZICONI,POZZO PER ACQUA,65,15°59'22.67''E,38°25'54.16''N,http://sgi2.isprambiente.it/indagini/scheda_indagine.aspx?Codice=176920,POZZI IDRICI
JOPPOLO,POZZO PER ACQUA,106,15°52'01.63''E,38°36'11.16''N,http://sgi2.isprambiente.it/indagini/scheda_indagine.aspx?Codice=175554,POZZI IDRICI
TAURIANOVA,POZZO PER ACQUA,152,15°58'31.69''E,38°21'57.17''N,http://sgi2.isprambiente.it/indagini/scheda_indagine.aspx?Codice=177097,POZZI IDRICI
CITTANOVA,POZZO PER ACQUA,84,16°01'46.67''E,38°24'08.17''N,http://sgi2.isprambiente.it/indagini/scheda_indagine.aspx?Codice=176306,POZZI IDRICI
CITTANOVA,POZZO PER ACQUA,70,16°01'43.68''E,38°26'21.16''N,http://sgi2.isprambiente.it/indagini/scheda_indagine.aspx?Codice=176299,POZZI IDRICI
RIZZICONI,POZZO PER ACQUA,105,15°56'25.69''E,38°23'32.14''N,http://sgi2.isprambiente.it/indagini/scheda_indagine.aspx?Codice=177006,POZZI IDRICI
LAUREANA DI BORRELLO,POZZO PER ACQUA,180,16°03'19.66''E,38°29'22.16''N,http://sgi2.isprambiente.it/indagini/scheda_indagine.aspx?Codice=190960,POZZI IDRICI
CITTANOVA,POZZO PER ACQUA,120,16°04'26.69''E,38°23'16.19''N,http://sgi2.isprambiente.it/indagini/scheda_indagine.aspx?Codice=176327,POZZI IDRICI
ROSARNO,POZZO PER ACQUA,95,16°01'06.67''E,38°26'35.16''N,http://sgi2.isprambiente.it/indagini/scheda_indagine.aspx?Codice=176964,POZZI IDRICI
CITTANOVA,POZZO PER ACQUA,60,16°02'27.67''E,38°26'07.19''N,http://sgi2.isprambiente.it/indagini/scheda_indagine.aspx?Codice=176346,POZZI IDRICI
SAN CALOGERO,POZZO PER ACQUA,160,16°01'17.65''E,38°33'32.15''N,http://sgi2.isprambiente.it/indagini/scheda_indagine.aspx?Codice=175836,POZZI IDRICI
TAURIANOVA,POZZO PER ACQUA,40,15°58'12.86''E,38°21'28.93''N,http://sgi2.isprambiente.it/indagini/scheda_indagine.aspx?Codice=16711,POZZI IDRICI
FILANDARI,POZZO PER ACQUA,100,16°01'50.66''E,38°35'30.16''N,http://sgi2.isprambiente.it/indagini/scheda_indagine.aspx?Codice=175539,POZZI IDRICI
RIZZICONI,POZZO PER ACQUA,90,15°58'07.68''E,38°24'49.14''N,http://sgi2.isprambiente.it/indagini/scheda_indagine.aspx?Codice=177014,POZZI IDRICI
RIZZICONI,POZZO PER ACQUA,60,15°58'07.68''E,38°24'55.15''N,http://sgi2.isprambiente.it/indagini/scheda_indagine.aspx?Codice=176924,POZZI IDRICI
LIMBADI,POZZO PER ACQUA,81,15°58'17.82''E,38°33'23.53''N,http://sgi2.isprambiente.it/indagini/scheda_indagine.aspx?Codice=16763,POZZI IDRICI
RIZZICONI,POZZO PER ACQUA,226,15°55'39.68''E,38°22'29.14''N,http://sgi2.isprambiente.it/indagini/scheda_indagine.aspx?Codice=190981,POZZI IDRICI
TAURIANOVA,POZZO PER ACQUA,55,15°58'40.69''E,38°23'30.16''N,http://sgi2.isprambiente.it/indagini/scheda_indagine.aspx?Codice=177125,POZZI IDRICI
GIOIA TAURO,POZZO PER ACQUA,40,15°53'33.68''E,38°25'27.16''N,http://sgi2.isprambiente.it/indagini/scheda_indagine.aspx?Codice=153906,POZZI IDRICI
GIOIA TAURO,POZZO PER ACQUA,170,15°56'08.66''E,38°25'07.14''N,http://sgi2.isprambiente.it/indagini/scheda_indagine.aspx?Codice=176425,POZZI IDRICI
RIZZICONI,POZZO PER ACQUA,115,15°57'59.01''E,38°23'42.84''N,http://sgi2.isprambiente.it/indagini/scheda_indagine.aspx?Codice=16679,POZZI IDRICI
POLISTENA,POZZO PER ACQUA,90,16°03'13.68''E,38°25'09.19''N,http://sgi2.isprambiente.it/indagini/scheda_indagine.aspx?Codice=176580,POZZI IDRICI
CITTANOVA,POZZO PER ACQUA,80,16°03'38.70''E,38°23'58.16''N,http://sgi2.isprambiente.it/indagini/scheda_indagine.aspx?Codice=176333,POZZI IDRICI
NICOTERA,POZZO PER ACQUA,110,15°58'03.65''E,38°31'52.14''N,http://sgi2.isprambiente.it/indagini/scheda_indagine.aspx?Codice=175828,POZZI IDRICI
TAURIANOVA,POZZO PER ACQUA,180,16°02'09.71''E,38°21'27.14''N,http://sgi2.isprambiente.it/indagini/scheda_indagine.aspx?Codice=177167,POZZI IDRICI
POLISTENA,POZZO PER ACQUA,100,16°02'51.68''E,38°25'26.18''N,http://sgi2.isprambiente.it/indagini/scheda_indagine.aspx?Codice=176598,POZZI IDRICI
RIZZICONI,POZZO PER ACQUA,50,15°59'34.69''E,38°26'41.17''N,http://sgi2.isprambiente.it/indagini/scheda_indagine.aspx?Codice=176843,POZZI IDRICI
GIOIA TAURO,POZZO PER ACQUA,120,15°54'38.66''E,38°26'12.16''N,http://sgi2.isprambiente.it/indagini/scheda_indagine.aspx?Codice=176441,POZZI IDRICI
MILETO,POZZO PER ACQUA,80,16°03'17.64''E,38°34'55.16''N,http://sgi2.isprambiente.it/indagini/scheda_indagine.aspx?Codice=175763,POZZI IDRICI
ROMBIOLO,POZZO PER ACQUA,90,15°59'20.65''E,38°36'12.17''N,http://sgi2.isprambiente.it/indagini/scheda_indagine.aspx?Codice=175820,POZZI IDRICI
POLISTENA,POZZO PER ACQUA,90,16°03'51.70''E,38°24'56.16''N,http://sgi2.isprambiente.it/indagini/scheda_indagine.aspx?Codice=176592,POZZI IDRICI
TAURIANOVA,POZZO PER ACQUA,64,15°58'49.69''E,38°23'43.15''N,http://sgi2.isprambiente.it/indagini/scheda_indagine.aspx?Codice=177087,POZZI IDRICI
POLISTENA,POZZO PER ACQUA,100,16°03'06.78''E,38°24'20.92''N,http://sgi2.isprambiente.it/indagini/scheda_indagine.aspx?Codice=16596,POZZI IDRICI
