;;;;;;;;;;;;;;;;;;;;;top1;bottom1;strato1;top2;bottom2;strato2;top3;bottom3;strato3;top4;bottom4;strato4;top5;bottom5;strato5;top6;bottom6;strato6;top7;bottom7;strato7;;;;;;
15.902961;38.601989;176023;Calabria;VIBO VALENTIA;SPILINGA;150;1997;2;1.5;1;50;35;ND;ND;ND;ND;50;85;12.5;48.5;0;26;SABBIE CON INTERCALAZIONI LIMOSO-ARGILLOSO;26;50;GRANITI COMPLETAMENTE ALTERATI;50;85;GRANITI MODERATAMENTE ALTERATI. PRESENZA DI ZONE CON INTENSA FRATTURAZIONE. ZONA ACQUIFERA;85;150;GRANITI DEBOLMENTE ALTERATA. ELEVATA RESISTENZA ALLA PERFORAZIONE. ASSENZA DI ZONE CON FRATTURAZIONE ACQUIFERE;;;;;;;;;;;;;;;
16.045739;38.506989;176952;Calabria;REGGIO DI CALABRIA;ROSARNO;35;2005;10;8;1;4;31;ND;ND;ND;ND;6;30;3;22;0;35;DEPOSITO GHIAIOSO SABBIOSO CON INTERCALAZIONI LIMOSE;;;;;;;;;;;;;;;;;;;;;;;;
16.020778;38.377444;16721;Calabria;REGGIO DI CALABRIA;TAURIANOVA;100;ND;ND;ND;1;80;0;ND;ND;ND;ND;80;100;37;45;0;1;TERRENO VEGETALE;1;60;SABBIA E PIETRE;60;80;ARGILLA;80;100;SABBIA CON ACQUA;;;;;;;;;;;;;;;
16.106581;38.388661;177030;Calabria;REGGIO DI CALABRIA;SAN GIORGIO MORGETO;220;1990;25;16;1;130;90;ND;ND;ND;ND;130;220;150;180;0;45;SABBIE MEDIO-GROSSOLANE;45;54;ARGILLE LIMOSE;54;70;CONGLOMERATI POLIGENICI;70;130;ARGILLE LIMOSE;130;178;SABBIE MEDIO-GROSSOLANE, MEDIAMENTE COMPATTE;178;220;GRANITI CON GIUNTI DI FRATTURAZIONE, MASSIVI;;;;;;;;;
16.014911;38.458931;176984;Calabria;REGGIO DI CALABRIA;ROSARNO;75;1992;10;10;0;ND;ND;ND;ND;ND;ND;ND;ND;37;50;0;3;SABBIA;3;6;SABBIA E GHIAIA;6;38;SILTS ARGILLOSO;38;75;SABBIA GHIAIOSA CON CIOTTOLI;;;;;;;;;;;;;;;
15.946903;38.470611;16690;Calabria;REGGIO DI CALABRIA;ROSARNO;45;2008;4;2.95;1;25;15;ND;ND;ND;ND;ND;ND;24;26;0;5;TERRENO VEGETALE;5;25;SABBIA LIMOSA;25;35;SABBIA E GHIAIA;35;40;SABBIA LIMOSA;40;45;LIMO;;;;;;;;;;;;
15.971289;38.567819;175613;Calabria;VIBO VALENTIA;LIMBADI;120;1991;8;7;2;77;13;100;10;ND;ND;0;120;35;90;0;10;TERRENO VEGETALE;10;50;ARGILLA;50;120;CALCARE;;;;;;;;;;;;;;;;;;
15.981019;38.392539;177081;Calabria;REGGIO DI CALABRIA;TAURIANOVA;65;1989;20;900;1;30;35;ND;ND;ND;ND;ND;ND;20;30;0;3;TERRENO VEGETALE;3;30;SABBIONE;30;65;SABBIA E GHIAIA;;;;;;;;;;;;;;;;;;
16.019081;38.400039;176314;Calabria;REGGIO DI CALABRIA;CITTANOVA;45;1988;15;10;2;20;5;35;10;ND;ND;30;35;20;20;0;10;TERRENO VEGETALE;10;20;GHIAIA;20;45;SABBIA E GHIAIA;;;;;;;;;;;;;;;;;;
15.9574;38.570319;175664;Calabria;VIBO VALENTIA;LIMBADI;115;1991;6;5;2;70;10;85;10;ND;ND;0;115;41;70;0;10;TERRENO VEGETALE;10;50;CALCARE;50;70;GRANITO ALTERATO;70;75;SABBIONE;75;85;GRANITO COMPATTO;85;95;GRANITO ALTERATO;95;115;GRANITO COMPATTO;;;;;;
16.007961;38.54505;175858;Calabria;VIBO VALENTIA;SAN CALOGERO;90;1989;300;ND;1;60;30;ND;ND;ND;ND;ND;ND;ND;ND;0;61;ARGILLE SILTOSE;61;90;SABBIE A GRANULOMETRIA DA MEDIA A GROSSOLANA;;;;;;;;;;;;;;;;;;;;;
16.037131;38.56005;175850;Calabria;VIBO VALENTIA;SAN CALOGERO;138;1994;6;3;2;80;0.5;120;0.3;ND;ND;ND;ND;120;125;0;2;TERRENO VEGETALE;2;80;ARGILLA E SABBIA COMPATTA;80;138;SABBIA E ARGILLA;;;;;;;;;;;;;;;;;;
16.340469;38.477;175780;Calabria;VIBO VALENTIA;NARDODIPACE;110;1990;3.2;1.3;1;70;40;ND;ND;ND;ND;70;110;2.5;98.9;0;60;ARENARIE SCIOLTE PRODOTTI DI SOLIFLUSSIONE E DILAVAMENTO;60;85;GRANITO ALTERATO CON SVILUPPO DI UNA ALTERAZIONE ROSSASTRA E SOTTILI COPERTURE ALLUVIONALI;85;110;GRANITO FRATTURATO CON DIMINUZIONE DELLA FRATTURAZIONE IN PROFONDITA;;;;;;;;;;;;;;;;;;
16.005739;38.419769;176895;Calabria;REGGIO DI CALABRIA;RIZZICONI;72;1994;8;ND;3;30;4;45;5;64;8;ND;ND;35;45;0;2;TERRENO VEGETALE;2;26;MATERIALE ARGILLOSO;26;34;PIETRISCO E SABBIA;34;44;MATERIALE ARGILLOSO;44;72;SABBIA GHIAIOSA;;;;;;;;;;;;
15.989631;38.431711;176920;Calabria;REGGIO DI CALABRIA;RIZZICONI;65;1987;ND;ND;1;40;0;ND;ND;ND;ND;ND;ND;40;42;0;65;SABBIA E GHIAIA;;;;;;;;;;;;;;;;;;;;;;;;
15.867119;38.6031;175554;Calabria;VIBO VALENTIA;JOPPOLO;106;1993;4;2;1;78;10;ND;ND;ND;ND;ND;ND;50;80;0;5;TERRENO AGRARIO;5;42;CONGLOMERATI E SABBIA;42;70;GRANITO COMPATTO;70;80;GRANITO IN DISFACIMENTO;80;106;GRANITO COMPATTO;;;;;;;;;;;;
15.975469;38.365881;177097;Calabria;REGGIO DI CALABRIA;TAURIANOVA;152;1990;15;900;1;95;57;ND;ND;ND;ND;ND;ND;40;60;0;50;TUFO CON SABBIA;50;90;SABBIA MELMOSA;90;152;SABBIA E GHIAIA;;;;;;;;;;;;;;;;;;
16.029631;38.402269;176306;Calabria;REGGIO DI CALABRIA;CITTANOVA;84;1990;7;6;1;0;84;ND;ND;ND;ND;ND;ND;27;40;0;10;TERRENO UMIFERO;10;25;TUFO E ARGILLA;25;35;SABBIA;35;45;GHIAIA E SABBIA;45;84;SABBIA E GHIAIA E ACQUA;;;;;;;;;;;;
16.0288;38.439211;176299;Calabria;REGGIO DI CALABRIA;CITTANOVA;70;1995;5;4;1;40;30;ND;ND;ND;ND;ND;ND;25;35;0;2.5;HUMUS E TERRENO VEGETALE;2.5;16;PIETRISCO E SABBIA;16;32;CIOTTOLAME;32;55;ROCCIA;55;70;DESCRIZIONE LITOLOGICA MANCANTE;;;;;;;;;;;;
15.940469;38.392261;177006;Calabria;REGGIO DI CALABRIA;RIZZICONI;105;1992;15;15;1;60;45;ND;ND;ND;ND;ND;ND;26;26;0;3;VEGETALE;3;60;SABBIONE;60;105;SABBIA E GHIAIA;;;;;;;;;;;;;;;;;;
16.055461;38.489489;190960;Calabria;REGGIO DI CALABRIA;LAUREANA DI BORRELLO;180;ND;ND;ND;0;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;0;10;DEPOSITI ALLUVIONALI;10;100;SABBIE LIMO E ARGILLE LIMOSE;100;130;ARGILLE, ARGILLE LIMOSE E LIMI;130;180;CALCARI;;;;;;;;;;;;;;;
16.074081;38.387831;176327;Calabria;REGGIO DI CALABRIA;CITTANOVA;120;1993;10;9;2;0;35;70;50;ND;ND;ND;ND;15;30;0;1.5;HUMUS;1.5;8.5;CIOTTOLAME E PIETRISCO;8.5;35;ROCCIA GRANITICA;35;80;SABBIA SILICEA;80;120;ARGILLA COMPATTA;;;;;;;;;;;;
16.018519;38.4431;176964;Calabria;REGGIO DI CALABRIA;ROSARNO;95;1990;15;15;1;60;35;ND;ND;ND;ND;ND;ND;40;53;0;30;SABBIA E PIETRISCO;30;60;ARGILLA;60;95;SABBIA CON FALDE DI ACQUA;;;;;;;;;;;;;;;;;;
16.041019;38.435331;176346;Calabria;REGGIO DI CALABRIA;CITTANOVA;60;1988;5;5;1;0;30;ND;ND;ND;ND;ND;ND;10;25;0;1;HUMUS - TERRENO VEGETALE;1;4;SABBIA;4;7;SABBIA GROSSA;7;11;ROCCIA GRANITICA;11;60;ARGILLA COMPATTA;;;;;;;;;;;;
16.021569;38.558931;175836;Calabria;VIBO VALENTIA;SAN CALOGERO;160;1992;2.5;2;1;140;10;ND;ND;ND;ND;100;160;110;140;0;10;SABBIA;10;30;ROCCIA IN DISFACIMENTO CON SABBIA;30;80;ROCCIA FESSURATA;80;125;ROCCIA IN DISFACIMENTO;125;160;GRANITO;;;;;;;;;;;;
15.970239;38.358036;16711;Calabria;REGGIO DI CALABRIA;TAURIANOVA;40;ND;3;2.05;1;30;10;ND;ND;ND;ND;ND;ND;12;14.5;0;2;TERRENO VEGETALE;2;30;ARGILLA;30;40;SABBIA;;;;;;;;;;;;;;;;;;
16.030739;38.591711;175539;Calabria;VIBO VALENTIA;FILANDARI;100;1992;6;5;1;40;60;ND;ND;ND;ND;40;100;40;60;0;5;ARGILLA;5;35;TUFO CALCAREO;35;65;CALCAREO;65;80;TUFO CALCAREO;80;100;CALACRE TUFO E SABBIA;;;;;;;;;;;;
15.9688;38.41365;177014;Calabria;REGGIO DI CALABRIA;RIZZICONI;90;1993;11.5;10.333;2;16;5;75;12;ND;ND;ND;ND;55;60;0;4;TERRENO VEGETALE;4;16;ARGILLA;16;21;GHIAIA CON ACQUA;21;40;ARGILLA;40;60;SABBIA;60;75;ARGILLA;75;87;GHIAIA CON ACQUA;87;90;ARGILLA;;;
15.9688;38.415319;176924;Calabria;REGGIO DI CALABRIA;RIZZICONI;60;1991;8;7;2;1;5;40;20;ND;ND;40;60;50;55;0;10;TERRENO ARGILLOSO UMIFERO;10;20;TERRENO SABBIOSO;20;35;TERRENO ARGILLIFORME;35;45;TERRENO MISTO DI SABBIA E PIETRE;45;60;TERRENO FINO LIMOSO CON DISCRETA FALDA LIBERA;;;;;;;;;;;;
15.971617;38.556536;16763;Calabria;VIBO VALENTIA;LIMBADI;81;ND;5;2;1;70;5;ND;ND;ND;ND;60;80;30;35;0;2.3;TERRENO VEGETALE DI COLORE MARRONE - ROSSASTRO, SABBIOSO LIMOSO;2.3;35;ARGILLE SILTOSE PLIOCENICHE CON LIVELLI SILTOSO-SABBIOSI. MOLTO COMPATTI.;35;81;GRANITO S.L.;;;;;;;;;;;;;;;;;;
